character_name,class,dps,link
Altiorx,mage,83411,https://www.raidbots.com/simbot/report/4YBFxfXKMJ2WrGZNLgMBtL
Kyuji,mage,82964,https://www.raidbots.com/simbot/report/sBDhnHRXZiu4wf95GDQELK
Pepejamjam,shaman,82284,https://www.raidbots.com/simbot/report/k92fmApddvtaMVwAiBVebt
Sunnymikej,druid,82009,https://www.raidbots.com/simbot/report/j5urHUUrfny5h83goAdE3P
Kagamii,shaman,81845,https://www.raidbots.com/simbot/report/s18Hd9DXeHrmxeNjmw7uv8
Fenchurches,demon_hunter,81650,https://www.raidbots.com/simbot/report/9Pp2nrZk681xy64uvQSkos
Kosnes,hunter,81331,https://www.raidbots.com/simbot/report/7RhY5b17dnMF2k3ZThgmN4
Kharllang,death_knight,79522,https://www.raidbots.com/simbot/report/m2o9Se5YidNfyVDib8pmxH
Tenzan,death_knight,75297,https://www.raidbots.com/simbot/report/ou9rKLvs7BE68g24oPEJQs
Natedog,rogue,74578,https://www.raidbots.com/simbot/report/q6eLYA2Wh4cxAgxLnUTswu
Wobra,warlock,73675,https://www.raidbots.com/simbot/report/5nf8aCuyhv6yrbSpnbu9Jz
Syntiih,hunter,72248,https://www.raidbots.com/simbot/report/7agfJY9TBhGoZZCN8JYf9F
Wranthemaul,druid,70452,https://www.raidbots.com/simbot/report/ps8V6wAdapYEw56V8DA6gE
Annabelle,paladin,69420,https://www.google.com/search?q=ben&rlz=1C1GTPM_enFR915FR915&oq=ben&aqs=chrome..69i57j69i59l3j0i271l3.240j0j7&sourceid=chrome&ie=UTF-8
Meow,priest,58102,https://www.raidbots.com/simbot/report/9QcpjcnRB8kUqihZHSBDML
Bigqt,warrior,42000,https://www.raidbots.com/simbot/report/epXAUtZHJLg6rP6StFxS83
